ID,Team,AfterTimeOuts(ATO),HalfCourtSetAll,HalfCourtSetAll-NoPts,HalfCourtSetAll-Pts,HalfCourtSetvs.Zone-NoPts,HalfCourtSetvs.Man,HalfCourtSetvs.Man-NoPts,HalfCourtSetvs.Man-Pts,HalfCourtSetvs.Zone,HalfCourtSetvs.Zone-Pts,Last4Sec.ofShotClock,OutofBounds,OutofBounds(End),OutofBounds(Side),TotalPoints,Win,Season,AllPushBall,PressOffense,PushBallfromShotAttempt,PushBallfromTurnover,PushBalltoHalfCourtOff.,TransitionOffense,TransitionTurnover,2FGAttempts,2FGMade,2FGMissed,3FGAttempts,3FGMade,3FGMissed,AllFreeThrows,FGAttempts,FGMade,FGMissed,GuardedJumpShots,Unguarded Jump Shots,LiveFreeThrows,LongJumpShots,MediumJumpShots,ShortJumpShots,AllIsolation,AllOffensiveRebounds,AllP&RBallHandler,AllPossessionClips,AllPost-Up,Cuts,Handoffs,Isolation-DefenseCommits,Isolation-SingleCovered,MiscellaneousPossessions,OffScreens,Off.Reb.-PutBacks,Off.Reb.-ResetOffense,P&RBallHandler-DefenseCommits,P&RBallHandler-SingleCovered,P&RBallHandler-Traps,P&RRollMan,Post-Up-DefenseCommits,Post-Up-HardDoubleTeam,Post-Up-SingleCovered,SpotUps,Transitions,Assists,Blocks,DefensiveRebounds,NoPoints,NonPossessions,OffensiveRebounds,Points,Steals,StolenPossessions,TotalRebounds,Turnovers
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233551,Algoma Thunderbirds,7,79,60,19,2,76,58,18,3,1,7,13,7,6,49,0,2015-2016,23,0,17,6,13,8,2,51,13,38,17,5,12,12,68,18,50,13,13,6,17,17,11,12,12,16,89,8,5,2,6,6,4,9,7,5,13,3,0,7,0,4,4,27,10,11,0,17,66,26,10,23,8,9,27,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233552,Nipissing Lakers,9,75,48,27,1,73,47,26,2,1,11,7,3,4,71,1,2015-2016,32,15,24,8,15,17,0,44,20,24,22,5,17,23,66,25,41,16,6,12,22,8,3,7,20,4,92,22,4,1,4,3,7,5,10,10,2,2,0,0,5,3,14,26,17,16,2,27,57,42,16,35,10,7,43,10
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233552,Algoma Thunderbirds,8,78,53,25,1,77,52,25,1,0,12,10,6,4,56,0,2015-2016,22,1,18,4,10,8,4,52,18,34,12,3,9,18,64,21,43,5,6,9,12,4,6,14,11,13,90,20,7,1,4,10,7,2,7,4,5,8,0,1,2,0,18,15,12,8,1,22,61,26,8,29,7,10,30,15
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233553,Laurentian Voyageurs,9,80,53,27,5,71,48,23,9,4,0,20,13,7,79,1,2015-2016,23,12,18,5,4,15,4,46,22,24,25,5,20,22,71,27,44,13,8,12,25,2,0,9,13,18,99,5,6,0,4,5,10,9,10,3,9,9,0,2,1,0,4,24,19,19,3,24,63,43,12,37,6,10,36,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233553,Algoma Thunderbirds,8,82,55,27,1,81,54,27,1,0,4,7,2,5,78,0,2015-2016,29,16,22,7,15,11,3,48,19,29,20,9,11,20,68,28,40,6,10,10,21,6,12,15,15,17,96,9,6,3,3,12,11,5,10,5,7,10,0,3,4,1,4,16,14,15,7,24,60,40,13,36,10,6,37,16
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233556,Western Ontario Mustangs,9,69,44,25,38,12,6,6,57,19,4,11,6,5,64,0,2015-2016,30,13,23,7,10,17,3,27,13,14,28,8,20,22,55,21,34,12,16,10,28,1,2,2,7,2,89,10,9,0,0,2,18,1,3,4,1,1,0,0,2,4,4,27,20,2,0,23,58,33,7,31,6,11,30,21
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233556,Algoma Thunderbirds,8,74,49,25,1,72,48,24,2,1,8,13,6,7,68,1,2015-2016,16,0,9,7,7,7,2,27,12,15,28,11,17,14,55,23,32,16,7,7,28,5,12,16,5,18,83,4,6,3,4,12,11,4,2,3,10,7,1,4,0,2,2,19,9,0,0,23,53,29,4,30,11,6,27,13
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233557,Windsor Lancers,11,65,35,30,16,40,19,21,25,9,5,6,3,3,87,1,2015-2016,37,18,32,5,14,19,4,35,15,20,28,11,17,24,63,26,37,15,8,12,28,1,2,7,12,10,88,2,7,2,0,7,13,1,6,6,7,3,0,0,0,0,2,24,23,19,2,24,51,37,12,37,8,5,36,12
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233557,Algoma Thunderbirds,12,82,49,33,10,65,39,26,17,7,8,10,5,5,80,0,2015-2016,22,3,18,4,11,8,3,33,18,15,36,10,26,16,69,28,41,22,8,9,36,5,8,10,11,11,93,17,8,4,5,5,6,7,3,8,3,8,0,0,6,2,9,29,11,17,4,26,58,34,10,35,5,8,36,15
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233558,Algoma Thunderbirds,11,85,57,28,1,84,56,28,1,0,5,8,3,5,65,0,2015-2016,7,0,5,2,1,5,1,43,16,27,30,4,26,22,73,20,53,19,6,11,31,9,7,5,14,11,91,16,7,3,1,4,4,16,6,8,3,8,0,1,7,0,9,25,6,4,1,16,62,33,11,30,5,4,27,7
